0,1,2,3,4,5,6,7,8
0.0,-9.0,0.0,-1.0,1.0,-1.0,57.0,80.0,152.0
-3.0,-7.0,0.0,0.0,1.0,0.0,57.0,81.0,152.0
-7.0,-1.0,5.0,-1.0,0.0,-1.0,56.0,81.0,151.0
-1.0,-6.0,-6.0,-1.0,0.0,-1.0,55.0,81.0,150.0
-3.0,6.0,-4.0,-1.0,1.0,-1.0,54.0,82.0,149.0
-4.0,5.0,-1.0,-1.0,0.0,-2.0,53.0,82.0,147.0
3.0,-9.0,-1.0,0.0,1.0,0.0,53.0,83.0,147.0
6.0,-8.0,4.0,0.0,1.0,-1.0,53.0,84.0,146.0
0.0,0.0,0.0,0.0,0.0,0.0,53.0,84.0,146.0
-1.0,-1.0,3.0,-1.0,0.0,0.0,52.0,84.0,146.0
-7.0,0.0,9.0,-1.0,0.0,-2.0,51.0,84.0,144.0
5.0,-9.0,5.0,-1.0,0.0,-1.0,50.0,84.0,143.0
2.0,-5.0,-3.0,0.0,1.0,0.0,50.0,85.0,143.0
-8.0,7.0,2.0,0.0,1.0,0.0,50.0,86.0,143.0
1.0,-9.0,-1.0,0.0,0.0,-1.0,50.0,86.0,142.0
0.0,-11.0,-5.0,0.0,1.0,-1.0,50.0,87.0,141.0
-3.0,4.0,-1.0,-1.0,0.0,-2.0,49.0,87.0,139.0
2.0,-7.0,4.0,-1.0,0.0,-1.0,48.0,87.0,138.0
1.0,-15.0,6.0,1.0,1.0,0.0,49.0,88.0,138.0
-8.0,3.0,5.0,0.0,0.0,0.0,49.0,88.0,138.0
0.0,0.0,0.0,0.0,0.0,0.0,49.0,88.0,138.0
1.0,2.0,-6.0,-1.0,1.0,-1.0,48.0,89.0,137.0
3.0,3.0,-4.0,-1.0,0.0,-1.0,47.0,89.0,136.0
-5.0,1.0,4.0,0.0,0.0,-2.0,47.0,89.0,134.0
-1.0,-10.0,-1.0,1.0,0.0,0.0,48.0,89.0,134.0
-2.0,-2.0,7.0,0.0,1.0,-1.0,48.0,90.0,133.0
2.0,-10.0,-2.0,0.0,0.0,-1.0,48.0,90.0,132.0
-3.0,8.0,-6.0,0.0,1.0,0.0,48.0,91.0,132.0
3.0,8.0,-3.0,-2.0,0.0,-2.0,46.0,91.0,130.0
2.0,-6.0,0.0,0.0,1.0,0.0,46.0,92.0,130.0
-6.0,1.0,8.0,1.0,0.0,0.0,47.0,92.0,130.0
8.0,-15.0,1.0,1.0,1.0,0.0,48.0,93.0,130.0
-3.0,-9.0,0.0,0.0,0.0,-1.0,48.0,93.0,129.0
-14.0,17.0,0.0,-1.0,0.0,-1.0,47.0,93.0,128.0
0.0,0.0,0.0,0.0,0.0,0.0,47.0,93.0,128.0
9.0,16.0,-8.0,-3.0,0.0,-2.0,44.0,93.0,126.0
11.0,-4.0,-6.0,0.0,1.0,-1.0,44.0,94.0,125.0
-7.0,-5.0,-1.0,2.0,0.0,0.0,46.0,94.0,125.0
-7.0,11.0,7.0,-1.0,-1.0,-1.0,45.0,93.0,124.0
2.0,14.0,-5.0,-1.0,0.0,-2.0,44.0,93.0,122.0
4.0,8.0,-10.0,0.0,1.0,-1.0,44.0,94.0,121.0
8.0,-8.0,-4.0,1.0,0.0,-1.0,45.0,94.0,120.0
-1.0,-7.0,-2.0,1.0,0.0,-1.0,46.0,94.0,119.0
-8.0,5.0,7.0,0.0,-1.0,-1.0,46.0,93.0,118.0
1.0,-8.0,11.0,0.0,0.0,-2.0,46.0,93.0,116.0
1.0,-13.0,3.0,0.0,0.0,0.0,46.0,93.0,116.0
-1.0,2.0,8.0,-1.0,0.0,-1.0,45.0,93.0,115.0
0.0,0.0,0.0,0.0,0.0,0.0,45.0,93.0,115.0
10.0,-6.0,8.0,-1.0,1.0,-1.0,44.0,94.0,114.0
-1.0,-21.0,11.0,2.0,0.0,0.0,46.0,94.0,114.0
-6.0,-26.0,15.0,1.0,0.0,1.0,47.0,94.0,115.0
-1.0,-7.0,8.0,0.0,1.0,1.0,47.0,95.0,116.0
-1.0,6.0,-7.0,-1.0,1.0,-1.0,46.0,96.0,115.0
-1.0,3.0,-5.0,-1.0,0.0,0.0,45.0,96.0,115.0
1.0,-3.0,2.0,0.0,1.0,-1.0,45.0,97.0,114.0
0.0,-14.0,0.0,1.0,0.0,1.0,46.0,97.0,115.0
-10.0,1.0,4.0,-1.0,0.0,1.0,45.0,97.0,116.0
