index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
366,689,256,-719,-96,26,100,5483,2636,-3869,still
367,690,256,-722,-96,26,100,5483,2636,-3869,still
368,691,255,-724,-95,26,100,5483,2636,-3869,still
369,693,254,-726,-95,27,100,5483,2636,-3869,still
370,694,252,-728,-95,27,101,5359,2582,-3681,still
371,696,249,-731,-94,26,101,5359,2582,-3681,still
372,697,247,-733,-94,26,101,5359,2582,-3681,still
373,698,244,-736,-94,26,101,5359,2582,-3681,still
374,699,242,-738,-94,26,101,5359,2582,-3681,still
375,700,240,-741,-94,25,101,5359,2582,-3681,still
376,701,237,-743,-94,24,101,5359,2582,-3681,still
377,701,237,-743,-94,24,101,5359,2582,-3681,still
378,702,234,-746,-94,24,101,5359,2582,-3681,still
379,702,232,-748,-95,23,101,5359,2582,-3681,still
380,702,230,-750,-95,23,101,5359,2582,-3681,still
381,702,228,-752,-96,22,102,5148,2618,-3647,still
382,701,227,-754,-96,21,102,5148,2618,-3647,still
383,701,226,-755,-97,21,102,5148,2618,-3647,still
384,700,226,-756,-98,20,102,5148,2618,-3647,still
385,699,225,-756,-99,19,102,5148,2618,-3647,still
386,698,225,-757,-99,19,101,5148,2618,-3647,still
387,698,225,-757,-99,19,101,5148,2618,-3647,still
388,696,225,-758,-100,18,101,5148,2618,-3647,still
389,694,226,-759,-101,17,101,5148,2618,-3647,still
390,692,227,-759,-102,16,101,5148,2618,-3647,still
391,691,227,-759,-103,15,101,5148,2618,-3647,still
392,689,228,-759,-104,14,101,5095,2706,-3460,still
393,687,229,-759,-104,13,101,5095,2706,-3460,still
394,684,231,-759,-105,12,101,5095,2706,-3460,still
395,681,234,-758,-106,11,101,5095,2706,-3460,still
396,678,237,-757,-106,10,101,5095,2706,-3460,still
397,675,240,-754,-107,8,101,5095,2706,-3460,still
398,675,240,-754,-107,8,101,5095,2706,-3460,still
399,673,243,-751,-108,7,101,5095,2706,-3460,still
400,669,248,-749,-109,6,101,5095,2706,-3460,still
401,665,253,-745,-110,5,101,5095,2706,-3460,still
402,662,259,-740,-111,4,101,5095,2706,-3460,still
403,658,265,-735,-112,2,101,5095,2706,-3460,still
404,654,273,-730,-113,1,100,5095,2706,-3460,still
405,648,282,-723,-114,-1,100,5095,2706,-3460,still
406,643,291,-715,-116,-2,99,5095,2706,-3460,still
407,637,302,-707,-117,-3,98,5095,2706,-3460,still
408,631,313,-698,-118,-5,98,5095,2706,-3460,still
409,631,313,-698,-118,-5,98,5095,2706,-3460,still
410,626,324,-689,-120,-6,97,5095,2706,-3460,still
411,620,336,-680,-121,-7,96,5095,2706,-3460,still
412,614,348,-671,-122,-8,95,5095,2706,-3460,still
413,607,360,-660,-123,-9,94,5095,2706,-3460,still
414,602,374,-650,-123,-10,93,5095,2706,-3460,still
415,597,387,-639,-124,-11,92,5095,2706,-3460,still
416,592,400,-630,-124,-11,90,5095,2706,-3460,still
417,586,414,-620,-125,-12,89,5095,2706,-3460,still
418,580,429,-611,-125,-12,88,5095,2706,-3460,still
419,580,429,-611,-125,-12,88,5095,2706,-3460,still
420,575,443,-602,-125,-13,86,5095,2706,-3460,still
421,570,458,-592,-125,-13,85,5095,2706,-3460,still
422,565,473,-583,-125,-13,84,5095,2706,-3460,still
423,561,488,-574,-124,-13,82,5095,2706,-3460,still
424,557,502,-566,-124,-13,81,5095,2706,-3460,still
425,554,516,-558,-123,-13,79,5095,2706,-3460,still
426,552,530,-551,-122,-13,78,4725,2901,-3204,still
427,550,544,-545,-121,-13,76,4725,2901,-3204,still
428,549,556,-540,-120,-13,75,4725,2901,-3204,still
429,547,569,-535,-118,-12,73,4725,2901,-3204,still
430,547,569,-535,-118,-12,73,4725,2901,-3204,still
431,546,581,-531,-117,-12,71,4725,2901,-3204,still
432,547,594,-527,-115,-12,70,4725,2901,-3204,still
433,547,605,-524,-113,-11,68,4725,2901,-3204,still
434,549,616,-521,-111,-11,66,4725,2901,-3204,still
435,550,627,-518,-109,-11,64,4725,2901,-3204,still
436,553,638,-515,-107,-10,63,4725,2901,-3204,still
437,556,647,-513,-105,-10,61,4601,2919,-3255,still
438,560,657,-511,-103,-10,59,4601,2919,-3255,still
439,563,665,-510,-101,-9,57,4601,2919,-3255,still
440,563,665,-510,-101,-9,57,4601,2919,-3255,still
441,567,672,-507,-98,-9,55,4601,2919,-3255,still
442,571,680,-505,-96,-8,53,4601,2919,-3255,still
