index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
279,885,113,-498,-1,0,0,5254,2476,-3409,still
280,885,113,-497,-1,0,0,5254,2476,-3409,still
281,886,114,-498,-1,0,0,5254,2476,-3409,still
282,886,114,-498,0,0,0,5465,2406,-3341,still
283,886,114,-498,0,0,0,5465,2406,-3341,still
284,885,114,-499,0,0,0,5465,2406,-3341,still
285,885,114,-500,0,0,0,5465,2406,-3341,still
286,885,113,-500,0,0,0,5465,2406,-3341,still
287,885,114,-499,0,0,0,5465,2406,-3341,still
288,885,114,-499,0,0,0,5465,2406,-3341,still
289,885,113,-499,0,0,0,5465,2406,-3341,still
290,885,113,-499,0,0,0,5465,2406,-3341,still
291,885,113,-498,0,0,0,5465,2406,-3341,still
292,886,113,-498,0,0,0,5465,2406,-3341,still
293,886,113,-497,0,0,0,5377,2529,-3426,still
294,886,113,-498,0,0,0,5377,2529,-3426,still
295,885,113,-498,0,0,0,5377,2529,-3426,still
296,885,114,-497,0,0,0,5377,2529,-3426,still
297,885,114,-497,0,0,0,5377,2529,-3426,still
298,885,114,-497,0,0,0,5377,2529,-3426,still
299,885,114,-496,0,0,0,5377,2529,-3426,still
300,885,113,-496,0,0,0,5377,2529,-3426,still
301,885,113,-496,0,0,0,5377,2529,-3426,still
302,885,113,-496,0,-1,0,5377,2529,-3426,still
303,885,113,-496,0,-1,0,5377,2529,-3426,still
304,886,113,-497,0,0,0,5395,2441,-3307,still
305,887,113,-497,0,-1,0,5395,2441,-3307,still
306,887,113,-496,0,-1,0,5395,2441,-3307,still
307,887,113,-496,0,-1,0,5395,2441,-3307,still
308,887,113,-496,0,-1,0,5395,2441,-3307,still
309,887,112,-496,0,-1,0,5395,2441,-3307,still
310,887,112,-496,0,-1,0,5395,2441,-3307,still
311,886,113,-497,0,-1,0,5395,2441,-3307,still
312,886,113,-497,0,-1,0,5395,2441,-3307,still
313,886,113,-497,0,-1,0,5395,2441,-3307,still
314,886,113,-497,0,-1,0,5395,2441,-3307,still
315,886,113,-498,0,-1,0,5201,2423,-3221,still
316,885,113,-498,0,0,0,5201,2423,-3221,still
317,885,113,-498,0,0,0,5201,2423,-3221,still
318,885,113,-498,0,0,0,5201,2423,-3221,still
319,885,113,-498,0,0,0,5201,2423,-3221,still
320,884,113,-498,0,0,0,5201,2423,-3221,still
